name	accesion	country	date	WA	improvedname	lineage
A_OY757607	OY757607	Australia	2021-10-16	GB	OY757607_Australia_2021-10-16	A.2.b.2_111
A_OY757690	OY757690	Australia	2021-07-13	GB	OY757690_Australia_2021-07-13	A.2.b.2_111
A_OY757726	OY757726	Australia	2021-08-09	GB	OY757726_Australia_2021-08-09	A.2.b.2_111
A_OY757785	OY757785	Australia	2021-10-16	GB	OY757785_Australia_2021-10-16	A.2.b.2_111
A_OM262398	OM262398	China	2017	GB	OM262398_China_2017	A.2.b.2_111
A_OM262399	OM262399	China	2017	GB	OM262399_China_2017	A.2.b.2_111
A_OM262400	OM262400	China	2018	GB	OM262400_China_2018	A.2.b.2_111
A_OM262402	OM262402	China	2018	GB	OM262402_China_2018	A.2.b.2_111
A_OM262403	OM262403	China	2018	GB	OM262403_China_2018	A.2.b.2_111
A_OM262404	OM262404	China	2018	GB	OM262404_China_2018	A.2.b.2_111
A_OM262406	OM262406	China	2018	GB	OM262406_China_2018	A.2.b.2_111
A_OM262407	OM262407	China	2018	GB	OM262407_China_2018	A.2.b.2_111
A_OM262408	OM262408	China	2017	GB	OM262408_China_2017	A.2.b.2_111
A_OM262409	OM262409	China	2017	GB	OM262409_China_2017	A.2.b.2_111
A_OM262410	OM262410	China	2018	GB	OM262410_China_2018	A.2.b.2_111
A_OM262412	OM262412	China	2018	GB	OM262412_China_2018	A.2.b.2_111
A_OM262413	OM262413	China	2019	GB	OM262413_China_2019	A.2.b.2_111
A_OM262414	OM262414	China	2019	GB	OM262414_China_2019	A.2.b.2_111
A_OM262415	OM262415	China	2019	GB	OM262415_China_2019	A.2.b.2_111
A_OM262416	OM262416	China	2019	GB	OM262416_China_2019	A.2.b.2_111
A_OL794474	OL794474	Netherlands	2016	GB	OL794474_Netherlands_2016	A.2.b.2_111
A_OZ211373	OZ211373	Switzerland	2024-01-24	GB	OZ211373_Switzerland_2024-01-24	A.2.b.2_111
A_OZ211376	OZ211376	Switzerland	2024-03-28	GB	OZ211376_Switzerland_2024-03-28	A.2.b.2_111
A_OZ211381	OZ211381	Switzerland	2024-03-22	GB	OZ211381_Switzerland_2024-03-22	A.2.b.2_111
A_OZ211385	OZ211385	Switzerland	2024-03-11	GB	OZ211385_Switzerland_2024-03-11	A.2.b.2_111
A_OZ211386	OZ211386	Switzerland	2024-03-27	GB	OZ211386_Switzerland_2024-03-27	A.2.b.2_111
A_OZ211387	OZ211387	Switzerland	2024-02-29	GB	OZ211387_Switzerland_2024-02-29	A.2.b.2_111
A_OZ211388	OZ211388	Switzerland	2024-03-25	GB	OZ211388_Switzerland_2024-03-25	A.2.b.2_111
A_OZ211399	OZ211399	Switzerland	2024-03-10	GB	OZ211399_Switzerland_2024-03-10	A.2.b.2_111
A_OZ211400	OZ211400	Switzerland	2024-03-28	GB	OZ211400_Switzerland_2024-03-28	A.2.b.2_111
A_OZ211642	OZ211642	Switzerland	2024-05-20	GB	OZ211642_Switzerland_2024-05-20	A.2.b.2_111
A_MT118670	MT118670	USA	2018	GB	MT118670_USA_2018	A.2.b.2_111
