name	accession	country	date	WA	improvedname	lineage
B_MG773272	MG773272	Argentina	2016-07-04	GB	MG773272_Argentina_2016-07-04	B.1
B_KF530182	KF530182	Australia	2003-07-14	GB	KF530182_Australia_2003-07-14	B.1
B_KF530179	KF530179	Australia	2003-08-11	GB	KF530179_Australia_2003-08-11	B.1
B_KC562230	KC562230	Australia	2004-03-05	GB	KC562230_Australia_2004-03-05	B.1
B_KF530171	KF530171	Australia	2004-06-22	GB	KF530171_Australia_2004-06-22	B.1
B_KF530163	KF530163	Australia	2004-07-06	GB	KF530163_Australia_2004-07-06	B.1
B_KF530173	KF530173	Australia	2004-07-06	GB	KF530173_Australia_2004-07-06	B.1
B_KF530177	KF530177	Australia	2004-07-06	GB	KF530177_Australia_2004-07-06	B.1
B_KF530164	KF530164	Australia	2004-08-19	GB	KF530164_Australia_2004-08-19	B.1
B_KF530158	KF530158	Australia	2004-08-30	GB	KF530158_Australia_2004-08-30	B.1
B_KF530167	KF530167	Australia	2004-08-30	GB	KF530167_Australia_2004-08-30	B.1
B_KF530181	KF530181	Australia	2004-09-01	GB	KF530181_Australia_2004-09-01	B.1
B_KF530160	KF530160	Australia	2004-09-02	GB	KF530160_Australia_2004-09-02	B.1
B_OP904061	OP904061	Australia	2013-06-20	GB	OP904061_Australia_2013-06-20	B.1
B_OP904056	OP904056	Australia	2013-07-01	GB	OP904056_Australia_2013-07-01	B.1
B_OP904055	OP904055	Australia	2013-08-11	GB	OP904055_Australia_2013-08-11	B.1
B_OP904063	OP904063	Australia	2013-09-08	GB	OP904063_Australia_2013-09-08	B.1
B_OP904052	OP904052	Australia	2013-10-14	GB	OP904052_Australia_2013-10-14	B.1
B_OP904074	OP904074	Australia	2016-06-26	GB	OP904074_Australia_2016-06-26	B.1
B_OP904043	OP904043	Australia	2016-10-09	GB	OP904043_Australia_2016-10-09	B.1
B_OP904107	OP904107	Australia	2016-10-09	GB	OP904107_Australia_2016-10-09	B.1
B_OP904070	OP904070	Australia	2016-10-18	GB	OP904070_Australia_2016-10-18	B.1
B_OP904124	OP904124	Australia	2016-11-02	GB	OP904124_Australia_2016-11-02	B.1
B_OP904046	OP904046	Australia	2017-05-10	GB	OP904046_Australia_2017-05-10	B.1
B_OP904041	OP904041	Australia	2017-05-31	GB	OP904041_Australia_2017-05-31	B.1
B_OP904040	OP904040	Australia	2017-06-04	GB	OP904040_Australia_2017-06-04	B.1
B_OP904035	OP904035	Australia	2017-07-04	GB	OP904035_Australia_2017-07-04	B.1
B_OP904038	OP904038	Australia	2017-07-04	GB	OP904038_Australia_2017-07-04	B.1
B_OP904104	OP904104	Australia	2017-08-04	GB	OP904104_Australia_2017-08-04	B.1
B_OP904086	OP904086	Australia	2017-08-05	GB	OP904086_Australia_2017-08-05	B.1
B_OP904098	OP904098	Australia	2017-08-05	GB	OP904098_Australia_2017-08-05	B.1
B_OP904081	OP904081	Australia	2017-09-10	GB	OP904081_Australia_2017-09-10	B.1
B_OP904097	OP904097	Australia	2017-09-11	GB	OP904097_Australia_2017-09-11	B.1
B_OP904085	OP904085	Australia	2017-09-22	GB	OP904085_Australia_2017-09-22	B.1
B_OP904100	OP904100	Australia	2017-09-26	GB	OP904100_Australia_2017-09-26	B.1
B_OP904077	OP904077	Australia	2017-12-04	GB	OP904077_Australia_2017-12-04	B.1
B_OP904080	OP904080	Australia	2017-12-04	GB	OP904080_Australia_2017-12-04	B.1
B_OP904089	OP904089	Australia	2017-12-18	GB	OP904089_Australia_2017-12-18	B.1
