tip	date	clade
HQ599207.1_India_2008	2008	A2b2_parental
JX082175.1_China_2008	2008	A2b2_parental
JX082177.1_China_2008	2008	A2b2_parental
JX139010.1_China_2008	2008	A2b2_parental
JX082172.1_China_2008	2008	A2b2_parental
JX139005.1_China_2008	2008	A2b2_parental
JX082176.1_China_2008	2008	A2b2_parental
JX139009.1_China_2008	2008	A2b2_parental
JX139012.1_China_2008	2008	A2b2_parental
JX139008.1_China_2008	2008	A2b2_parental
OL794360.1_Netherlands_2008	2008	A2b2_parental
HQ864250.1_Cambodia_2008	2008	A2b2_parental
HQ864233.1_Cambodia_2008	2008	A2b2_parental
JX082174.1_China_2008	2008	A2b2_parental
JX139007.1_China_2008	2008	A2b2_parental
JX082184.1_China_2009	2009	A2b2_parental
JX139017.1_China_2009	2009	A2b2_parental
HQ599206.1_India_2009	2009	A2b2_parental
JX082183.1_China_2009	2009	A2b2_parental
OL794468.1_Netherlands_2009	2009	A2b2_parental
OL794459.1_Netherlands_2009	2009	A2b2_parental
JX082182.1_China_2009	2009	A2b2_parental
JX082181.1_China_2009	2009	A2b2_parental
JX139014.1_China_2009	2009	A2b2_parental
JX082179.1_China_2009	2009	A2b2_parental
JX082185.1_China_2009	2009	A2b2_parental
JX139018.1_China_2009	2009	A2b2_parental
JX139016.1_China_2009	2009	A2b2_parental
JX082180.1_China_2009	2009	A2b2_parental
JX139013.1_China_2009	2009	A2b2_parental
HQ864259.1_Cambodia_2009	2009	A2b2_parental
HQ864260.1_Cambodia_2009	2009	A2b2_parental
JX082192.1_China_2010	2010	A2b2_parental
JX139025.1_China_2010	2010	A2b2_parental
OL794449.1_Netherlands_2010	2010	A2b2_parental
OL794413.1_Netherlands_2010	2010	A2b2_parental
KC795633.1_Canada_2010	2010	A2b2_parental
JX082194.1_China_2010	2010	A2b2_parental
JX139027.1_China_2010	2010	A2b2_parental
JX082193.1_China_2010	2010	A2b2_parental
JX139026.1_China_2010	2010	A2b2_parental
JX139019.1_China_2010	2010	A2b2_parental
KC795614.1_Canada_2010	2010	A2b2_parental
KC795618.1_Canada_2010	2010	A2b2_parental
OL794397.1_Netherlands_2010	2010	A2b2_parental
JX082190.1_China_2010	2010	A2b2_parental
JX139023.1_China_2010	2010	A2b2_parental
JX082191.1_China_2010	2010	A2b2_parental
JX139024.1_China_2010	2010	A2b2_parental
JX082187.1_China_2010	2010	A2b2_parental
JX139020.1_China_2010	2010	A2b2_parental
JX082189.1_China_2010	2010	A2b2_parental
JX139022.1_China_2010	2010	A2b2_parental
JX082188.1_China_2010	2010	A2b2_parental
JX139021.1_China_2010	2010	A2b2_parental
KC795638.1_Canada_2010	2010	A2b2_parental
OL794426.1_Netherlands_2011	2011	A2b2_parental
OL794461.1_Netherlands_2011	2011	A2b2_parental
OL794398.1_Netherlands_2011	2011	A2b2_parental
OL794371.1_Netherlands_2011	2011	A2b2_parental
OL794450.1_Netherlands_2011	2011	A2b2_parental
KC795648.1_Canada_2011	2011	A2b2_parental
KC795649.1_Canada_2011	2011	A2b2_parental
KC795652.1_Canada_2011	2011	A2b2_parental
KC795653.1_Canada_2011	2011	A2b2_parental
KC795655.1_Canada_2011	2011	A2b2_parental
MT951096.1_Brazil_2012	2012	A2b2_parental
KC795660.1_Canada_2012	2012	A2b2_parental
KC795661.1_Canada_2012	2012	A2b2_parental
KC795656.1_Canada_2012	2012	A2b2_parental
KC795659.1_Canada_2012	2012	A2b2_parental
KC795657.1_Canada_2012	2012	A2b2_parental
OL794428.1_Netherlands_2013	2013	A2b2_parental
MT951103.1_Brazil_2013	2013	A2b2_parental
MT951105.1_Brazil_2013	2013	A2b2_parental
MT951101.1_Brazil_2013	2013	A2b2_parental
MT951107.1_Brazil_2013	2013	A2b2_parental
MT951108.1_Brazil_2013	2013	A2b2_parental
MT951111.1_Brazil_2013	2013	A2b2_parental
OL794364.1_Netherlands_2013	2013	A2b2_parental
OL794471.1_Netherlands_2013	2013	A2b2_parental
OL794479.1_Netherlands_2013	2013	A2b2_parental
OL794401.1_Netherlands_2014	2014	A2b2_parental
OL794452.1_Netherlands_2014	2014	A2b2_parental
